cbsa20,cbsatype20,CBSAName20,state_puma
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03105
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03531
25940,Metro,"Hilton Head Island-Bluffton, SC",45-01400
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-01004
21340,Metro,"El Paso, TX",48-03301
42940,Micro,"Sevierville, TN",47-01500
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03526
28300,Micro,"Keene, NH",33-00500
19780,Metro,"Des Moines-West Des Moines, IA",19-01500
43060,Micro,"Shawnee, OK",40-01102
14500,Metro,"Boulder, CO",08-00802
41620,Metro,"Salt Lake City, UT",49-35002
39300,Metro,"Providence-Warwick, RI-MA",44-00104
16740,Metro,"Charlotte-Concord-Gastonia, NC-SC",45-00502
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11603
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03407
33460,Metro,"Minneapolis-St. Paul-Bloomington, MN-WI",27-01000
34980,Metro,"Nashville-Davidson--Murfreesboro--Franklin, TN",47-00400
16980,Metro,"Chicago-Naperville-Elgin, IL-IN-WI",17-03504
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-02001
18140,Metro,"Columbus, OH",39-04102
19740,Metro,"Denver-Aurora-Lakewood, CO",08-00807
41180,Metro,"St. Louis, MO-IL",29-01806
41860,Metro,"San Francisco-Oakland-Berkeley, CA",06-07502
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03203
14860,Metro,"Bridgeport-Stamford-Norwalk, CT",09-00105
47900,Metro,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51-51246
17900,Metro,"Columbia, SC",45-00605
34980,Metro,"Nashville-Davidson--Murfreesboro--Franklin, TN",47-00500
13820,Metro,"Birmingham-Hoover, AL",01-01200
24860,Metro,"Greenville-Anderson, SC",45-00102
41620,Metro,"Salt Lake City, UT",49-35007
25840,Micro,"Hermiston-Pendleton, OR",41-00200
46140,Metro,"Tulsa, OK",40-01302
45780,Metro,"Toledo, OH",39-00600
19740,Metro,"Denver-Aurora-Lakewood, CO",08-00809
24330,Micro,"Grand Rapids, MN",27-00300
22220,Metro,"Fayetteville-Springdale-Rogers, AR",05-00100
35620,Metro,"New York-Newark-Jersey City, NY-NJ-PA",36-03107
16700,Metro,"Charleston-North Charleston, SC",45-01203
40900,Metro,"Sacramento-Roseville-Folsom, CA",06-06710
18140,Metro,"Columbus, OH",39-04107
24860,Metro,"Greenville-Anderson, SC",45-00200
37980,Metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",42-03401
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-04006
31080,Metro,"Los Angeles-Long Beach-Anaheim, CA",06-05905
12060,Metro,"Atlanta-Sandy Springs-Alpharetta, GA",13-03300
42660,Metro,"Seattle-Tacoma-Bellevue, WA",53-11502
14460,Metro,"Boston-Cambridge-Newton, MA-NH",25-03400
14860,Metro,"Bridgeport-Stamford-Norwalk, CT",09-00101
38260,Micro,"Pittsburg, KS",20-01400
